X;Y;Z
54.6271;-0.5515;-12.4719
54.2576;-2.5941;-12.4602
50.2676;-3.4863;-11.1132
50.811;-5.1052;-11.7523
48.3802;-3.2384;-12.5369
44.5482;4.1777;-11.8992
35.83;5.3257;-9.6372
29.5193;0.3466;-7.5619
25.6725;-7.5732;-8.6098
26.1869;-10.0091;-9.4624
27.8014;-5.4897;-9.7441
25.845;-0.6643;-10.0877
19.1227;-0.5615;-7.7067
10.1712;-2.4889;-4.2051
9.5958;-6.4811;-5.2179
14.0113;-6.5803;-4.762
16.0983;-0.6526;-4.5201
13.318;7.1303;-1.4874
10.2522;5.0582;-2.3763
9.9355;-5.7583;-2.8438
13.7167;-10.5968;-3.2438
14.854;-6.4964;-3.7825
14.5264;4.3449;-4.883
11.7017;5.5781;-6.3178
5.4318;-4.4992;-6.1807
3.2168;-13.2;-6.1875
6.9295;-11.5361;-5.413
8.0348;-6.5236;-5.8949
6.5333;0.2627;-5.8147
3.0004;4.4424;-6.4297
-1.4931;3.7518;-4.146
-4.3283;-6.1065;-2.5147
-0.2161;-11.1159;-4.4554
0.1903;-10.8149;-4.6145
0.5195;-3.354;-4.3961
-2.3873;3.183;-3.5897
-3.8608;5.1497;-1.2501
-7.7673;-0.8258;0.0443
-6.2804;-7.2258;-1.3145
-4.5954;-7.6517;-2.6976
-6.3627;-3.2832;-3.499
-10.139;4.5323;-3.211
-11.555;6.308;-2.814
-12.6262;-0.2303;-0.3195
-9.5221;-9.545;-0.8645
-5.993;-9.464;-1.4267
-8.0892;-2.9335;-3.5397
-11.3084;4.2368;-5.5833
-13.8232;2.1829;-3.4311
-13.1657;-6.4722;-3.724
-9.0938;-9.7394;-4.2022
-9.5359;-8.5398;-5.3264
-13.4452;-1.5659;-6.2765
-16.1158;3.9087;-6.3194
-18.1904;3.1283;-5.4832
-21.1254;-4.1885;-3.9125
-21.1709;-9.7941;-5.5258
-21.9841;-8.9631;-7.3979
-26.5451;-5.0528;-8.3259
-26.9753;3.2364;-6.4268
-28.3429;5.6146;-4.7341
-34.0924;-0.2984;-0.8553
-37.3253;-5.857;-1.2791
-38.2811;-5.9318;-1.8345
-36.3314;-5.1232;-0.5268
-31.2741;-4.0907;0.4135
-29.2391;-2.4384;0.3277
-26.8626;-1.2793;-1.0744
-24.8156;-2.2835;-5.0002
-23.875;-4.5746;-6.4951
-24.1225;-5.1857;-8.0582
-28.4833;-5.2413;-9.2309
-30.3218;-5.4941;-9.977
-33.3898;-5.0865;-11.1078
-39.0159;-5.4186;-13.3736
-43.5968;-6.3655;-15.8433
-48.6677;-7.7617;-17.9917
-53.7695;-10.0294;-20.45
-59.3763;-11.8561;-23.9796
-66.1504;-12.6426;-28.5711
-72.6603;-13.337;-33.7564
-79.5823;-13.0329;-39.5885
-88.3259;-9.9518;-46.3702
-99.2742;-3.8101;-53.4331
-109.5346;2.3055;-59.9341
-116.1619;2.7212;-61.8123
-124.194;7.8926;-64.8116
-123.7601;18.3896;-64.0247
-113.2513;21.8124;-68.0639
-105.9278;11.5439;-68.0961
-96.6409;-6.7723;-68.3027
-83.7864;-27.7649;-64.2489
-65.1821;-42.1894;-52.143
-48.8991;-51.5093;-39.4289
-34.9294;-57.4343;-27.5949
-23.7967;-62.6866;-17.8677
-13.3055;-68.3252;-8.611
0.4223;-74.0342;4.1978
18.3336;-78.0703;22.0624
35.6293;-80.1005;39.4547
44.8413;-81.4305;48.4229
48.2764;-82.7407;51.5842
47.6972;-83.5737;50.6587
38.9116;-83.4696;41.5885
26.2967;-82.225;28.7218
15.4924;-80.0116;17.6127
8.4417;-77.3932;10.3891
4.1558;-74.8023;6.2071
1.5041;-72.6924;3.9076
-0.1061;-71.248;2.7573
-1.1099;-70.5062;2.0536
-1.4612;-70.7652;1.7199
-1.4829;-72.2352;1.4711
-1.7551;-74.8417;0.812
-2.8141;-78.1279;-0.5202
-4.3064;-81.479;-2.0714
-6.0837;-84.2025;-3.7236
-7.9691;-86.0158;-5.3917
-7.9935;-86.87;-5.2355
-3.9749;-86.8671;-1.124
2.3543;-86.2247;5.2481
6.6055;-85.1167;9.5095
7.555;-83.6529;10.5292
6.4319;-82.0233;9.576
6.1666;-80.4923;9.5697
7.3704;-79.364;10.9385
8.9974;-78.7222;12.5788
10.1098;-78.3563;13.6501
10.6631;-78.2088;14.1813
10.9602;-78.1496;14.5893
11.7172;-78.0432;15.4613
12.8193;-77.8239;16.7042
14.4026;-77.47;18.3652
16.8168;-77.0008;20.7273
20.0494;-76.409;23.8197
23.7257;-75.6438;27.3048
27.4202;-74.7692;30.9396
31.0463;-73.8755;34.6911
34.4555;-73.0751;38.3016
37.4229;-72.4931;41.4429
39.7564;-72.1836;43.8138
41.1855;-72.1066;45.1686
42.1315;-72.0875;45.9419
43.1025;-71.9306;46.8009
44.214;-71.5469;47.9709
44.8797;-70.9796;48.7965
44.9896;-70.2622;49.0234
44.4997;-69.4156;48.5011
43.1737;-68.4898;46.9637
41.0236;-67.5966;44.5899
38.892;-66.7611;42.4915
38.1011;-65.8453;41.9725
39.0685;-64.8086;43.1911
41.5552;-63.6783;45.702
44.9256;-62.3569;48.8107
48.3085;-60.7474;51.7091
51.1257;-58.8016;53.9135
52.8943;-56.5981;55.069
53.6115;-54.2147;55.2792
53.6901;-51.7555;55.0176
53.5846;-49.3421;54.756
53.6777;-47.0274;54.7545
54.2273;-44.6642;54.9994
55.2568;-42.0468;55.3334
56.4761;-39.0634;55.5254
57.6434;-35.6751;55.5229
58.6916;-31.8941;55.4534
59.559;-27.8401;55.5062
60.4572;-23.7114;55.7798
61.5193;-19.8628;56.2006
62.509;-17.0208;56.4385
63.0069;-15.8793;56.0783
62.4364;-16.3083;54.8801
60.7612;-17.4946;53.1652
58.4588;-18.777;51.4206
56.156;-19.914;49.9168
54.3108;-20.5728;48.52
53.5948;-20.7645;47.4328
54.7903;-21.0764;47.3998
